chinese,pinyin,english
枝,zhī,measure word for stick-like things
多少,duōshǎo,how much / how many
多,duō,many / more
少,shǎo,few / less
錢,qián,money
種,zhǒng,kind / type
一,yī,one
二,èr,two
三,sān,three
四,sì,four
五,wǔ,five
六,liù,six
七,qī,seven
八,bā,eight
九,jiǔ,nine
十,shí,ten
塊,kuài,measure word for dollar
幾,jǐ,a few / several / how many
兩,liǎng,two (used with measure words)
零錢,língqián,change / coins
零,líng,zero
給,gěi,to give
請,qǐng,to invite / to request (please...)
找錢,zhǎoqián,to give change after a purchase
找,zhǎo,to give change after a purchase
個,ge,general measure word
和,hàn,and / together with
杯,bēi,cup of
一共,yígòng,altogether
毛,máo,dime / ten cents
分,fēn,cent
半,bàn,half
位,wèi,polite measure word for people
本,běn,measure word for books / volumes
那,nà,that
