chinese,pinyin,english
家,jiā,home / family
爸爸,bàba,father
媽媽,māma,mother
的,de,possessive or modifying particle
相片,xiàngpiàn,photograph / picture
兒,ér,a suffix
老師,lǎoshī,teacher
對,duì,to be correct / right
張,zhāng,measure word for photograph / paper / table
哥哥,gēge,older brother
還是,háishi,or
弟弟,dìdi,younger brother
女孩子,nǚháizi,girl
女,nǚ,female
女人,nǚrén,woman
女朋友,nǚpéngyǒu,girlfriend
孩子,háizi,child
子,zi,a noun suffix
姐姐,jiějie,older sister
朋友,péngyǒu,friend
這些,zhèixiē,these
一些,yìxiē,some / a few
那些,nèixiē,those
有的,yǒude,some / some of
伯伯,bóbo,father's older brother / uncle
輛,liàng,measure word for vehicles
隻,zhī,measure word for animals and one of certain paired things
貓,māo,cat
女兒,nǚér,daughter
兒子,érzi,son
男朋友,nánpéngyǒu,boyfriend
男,nán,male
男人,nánrén,man
男孩子,nánháizi,boy
狗,gǒu,dog
學生,xuéshēng,student
學,xué,to study / to learn
妹妹,mèimei,younger sister
杯子,bēizi,cup
